"trta","saffl","aesoc","aedecod","procedure","factor","measure","unit","denominator"
"Placebo","Y","_ALL_","_ALL_","count","quantity",301,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","_ALL_","_ALL_","count","quantity",455,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","_ALL_","_ALL_","count","quantity",435,"_NULL_","_NULL_"
"Placebo","Y","_ALL_","_ALL_","countdistinct","USUBJID",69,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","_ALL_","_ALL_","countdistinct","USUBJID",79,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","_ALL_","_ALL_","countdistinct","USUBJID",77,"_NULL_","_NULL_"
"Placebo","Y","CARDIAC DISORDERS","_ALL_","count","quantity",27,"_NULL_","_NULL_"
"Placebo","Y","EAR AND LABYRINTH DISORDERS","_ALL_","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","EYE DISORDERS","_ALL_","count","quantity",8,"_NULL_","_NULL_"
"Placebo","Y","GASTROINTESTINAL DISORDERS","_ALL_","count","quantity",26,"_NULL_","_NULL_"
"Placebo","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","_ALL_","count","quantity",48,"_NULL_","_NULL_"
"Placebo","Y","HEPATOBILIARY DISORDERS","_ALL_","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","INFECTIONS AND INFESTATIONS","_ALL_","count","quantity",35,"_NULL_","_NULL_"
"Placebo","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","_ALL_","count","quantity",9,"_NULL_","_NULL_"
"Placebo","Y","INVESTIGATIONS","_ALL_","count","quantity",19,"_NULL_","_NULL_"
"Placebo","Y","METABOLISM AND NUTRITION DISORDERS","_ALL_","count","quantity",8,"_NULL_","_NULL_"
"Placebo","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","_ALL_","count","quantity",8,"_NULL_","_NULL_"
"Placebo","Y","NERVOUS SYSTEM DISORDERS","_ALL_","count","quantity",16,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","_ALL_","count","quantity",14,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","_ALL_","count","quantity",5,"_NULL_","_NULL_"
"Placebo","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","_ALL_","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","_ALL_","count","quantity",15,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","_ALL_","count","quantity",47,"_NULL_","_NULL_"
"Placebo","Y","SURGICAL AND MEDICAL PROCEDURES","_ALL_","count","quantity",2,"_NULL_","_NULL_"
